Symptom,Severity,Suggested Medicine,1mg Link,Description
extra marital contacts,Low,Counseling,https://www.1mg.com/search/all?name=Counseling,Counseling is used for extra marital contacts in India as it helps address underlying psychological issues and improve communication within relationships.
family history,Low,Aspirin,https://www.1mg.com/search/all?name=Aspirin,Aspirin is commonly used for its antiplatelet effects to reduce the risk of heart attacks and strokes in individuals with a family history of cardiovascular disease in India.
fast heart rate,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
fatigue,Medium,Caffeine,https://www.1mg.com/search/all?name=Caffeine,Caffeine is a central nervous system stimulant that can help improve alertness and reduce fatigue by blocking adenosine receptors in the brain.
fluid overload,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
foul smell of urine,Low,Cranberry Extract,https://www.1mg.com/search/all?name=Cranberry+Extract,"Cranberry extract is commonly used for foul-smelling urine in India due to its ability to prevent and treat urinary tract infections, which can cause malodorous urine."
headache,Medium,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,"Paracetamol is commonly used for headaches in India due to its analgesic and antipyretic properties, making it effective in reducing pain and fever associated with headaches."
high fever,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
hip joint pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for hip joint pain in India due to its anti-inflammatory properties that help reduce pain and swelling in the affected area.
history of alcohol consumption,Low,N-acetylcysteine,https://www.1mg.com/search/all?name=N-acetylcysteine,N-acetylcysteine is commonly used for the symptom 'history of alcohol consumption' in India due to its ability to help reduce oxidative stress and liver damage associated with alcohol consumption.
increased appetite,Medium,Cyproheptadine,https://www.1mg.com/search/all?name=Cyproheptadine,Cyproheptadine is commonly used for increased appetite in India due to its ability to stimulate the release of certain hormones that regulate hunger and satiety.
indigestion,Low,Famotidine,https://www.1mg.com/search/all?name=Famotidine,"Famotidine is commonly used for indigestion in India because it is a histamine-2 blocker that reduces stomach acid production, providing relief from symptoms."
inflammatory nails,Low,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for inflammatory nails in India because it is a nonsteroidal anti-inflammatory drug (NSAID) that helps reduce pain and inflammation associated with nail conditions.
internal itching,Low,Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone,Hydrocortisone is commonly used for internal itching in India because it is a potent anti-inflammatory and anti-itch medication that helps reduce inflammation and itching in various skin conditions.
irregular sugar level,Medium,Metformin,https://www.1mg.com/search/all?name=Metformin,Metformin is commonly used in India for irregular sugar levels because it helps to lower blood glucose levels by decreasing glucose production in the liver and improving insulin sensitivity.
irritability,Low,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,"Paracetamol is commonly used for irritability in India due to its analgesic and antipyretic properties, which can help reduce pain and fever that may be contributing to irritability."
irritation in anus,Low,Hydrocortisone acetate,https://www.1mg.com/search/all?name=Hydrocortisone+acetate,Hydrocortisone acetate is commonly used for irritation in the anus in India due to its anti-inflammatory and anti-itch properties.
itching,Medium,Loratadine,https://www.1mg.com/search/all?name=Loratadine,Loratadine is commonly used for itching in India because it is an antihistamine that helps to reduce allergic reactions that can cause itching.
joint pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for joint pain in India due to its anti-inflammatory properties that help reduce pain and swelling in the joints.
knee pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for knee pain in India due to its anti-inflammatory and pain-relieving properties.
lack of concentration,Medium,Caffeine,https://www.1mg.com/search/all?name=Caffeine,"Caffeine is a central nervous system stimulant that can improve focus and alertness, making it effective for treating lack of concentration."
loss of appetite,Low,Cyproheptadine,https://www.1mg.com/search/all?name=Cyproheptadine,Cyproheptadine is commonly used for loss of appetite in India due to its ability to stimulate appetite by blocking serotonin and histamine receptors in the brain.
loss of balance,Medium,Meclizine,https://www.1mg.com/search/all?name=Meclizine,Meclizine is commonly used in India for loss of balance because it is an antihistamine that helps reduce dizziness and vertigo associated with inner ear problems.
loss of smell,Low,Phenylephrine,https://www.1mg.com/search/all?name=Phenylephrine,"Phenylephrine is a nasal decongestant that can help alleviate nasal congestion, which may improve the sense of smell in cases of loss of smell."
malaise,Medium,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,"Paracetamol is commonly used for malaise in India due to its ability to reduce fever and provide relief from body aches, common symptoms of malaise."
mild fever,Low,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,Paracetamol is commonly used for mild fever in India due to its effectiveness in reducing fever and its availability as an over-the-counter medication.
mood swings,Medium,Lithium Carbonate,https://www.1mg.com/search/all?name=Lithium+Carbonate,Lithium Carbonate is commonly used for mood swings in India because it is an effective mood stabilizer that helps regulate neurotransmitters in the brain.
movement stiffness,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for movement stiffness in India due to its anti-inflammatory properties that help reduce pain and inflammation in joints and muscles.
mucoid sputum,Low,Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin,"Guaifenesin is commonly used for mucoid sputum in India because it helps to loosen and thin mucus in the airways, making it easier to cough up."
muscle pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for muscle pain in India because it is a nonsteroidal anti-inflammatory drug (NSAID) that helps reduce inflammation and relieve pain.
muscle wasting,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
muscle weakness,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
nausea,Medium,Domperidone,https://www.1mg.com/search/all?name=Domperidone,Domperidone is commonly used for nausea in India due to its ability to increase gastric motility and reduce the feeling of fullness in the stomach.
neck pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for neck pain in India due to its anti-inflammatory and pain-relieving properties.
nodal skin eruptions,Low,Salicylic acid,https://www.1mg.com/search/all?name=Salicylic+acid,"Salicylic acid is commonly used for nodal skin eruptions in India due to its keratolytic properties, which help to exfoliate the skin and reduce inflammation."
obesity,Low,Orlistat,https://www.1mg.com/search/all?name=Orlistat,"Orlistat is commonly used for obesity in India because it inhibits the absorption of dietary fats, leading to weight loss."
pain behind the eyes,Low,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for pain behind the eyes in India due to its anti-inflammatory properties that can help reduce swelling and alleviate discomfort in the eye area.
pain during bowel movements,Low,Docusate Sodium,https://www.1mg.com/search/all?name=Docusate+Sodium,"Docusate Sodium is commonly used in India for pain during bowel movements as it acts as a stool softener, making it easier to pass stools and reducing strain on the bowels."
pain in anal region,Low,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for pain in the anal region in India due to its anti-inflammatory and pain-relieving properties.
painful walking,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for painful walking in India because it is a nonsteroidal anti-inflammatory drug that helps reduce inflammation and pain in the joints and muscles.
palpitations,Medium,Magnesium sulfate,https://www.1mg.com/search/all?name=Magnesium+sulfate,Magnesium sulfate is commonly used for palpitations in India due to its ability to stabilize the heart rhythm by regulating the flow of calcium and potassium ions in the heart muscle.
passage of gases,Low,Simethicone,https://www.1mg.com/search/all?name=Simethicone,"Simethicone is commonly used in India for the symptom of passage of gases because it helps to break down gas bubbles in the gastrointestinal tract, reducing bloating and discomfort."
patches in throat,Low,Benzocaine,https://www.1mg.com/search/all?name=Benzocaine,"Benzocaine is a local anesthetic that can help numb the throat, providing relief from pain and discomfort associated with patches in the throat."
phlegm,Low,Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin,Guaifenesin is commonly used for phlegm in India because it is an expectorant that helps to loosen and clear mucus from the airways.
polyuria,Medium,Hydrochlorothiazide,https://www.1mg.com/search/all?name=Hydrochlorothiazide,Hydrochlorothiazide is commonly used for polyuria in India because it is a diuretic that helps reduce excessive fluid retention in the body.
prominent veins on calf,Low,Horse chestnut seed extract,https://www.1mg.com/search/all?name=Horse+chestnut+seed+extract,Horse chestnut seed extract is commonly used for prominent veins on the calf in India due to its anti-inflammatory and vein-strengthening properties.
puffy face and eyes,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for puffy face and eyes in India due to its anti-inflammatory properties that can help reduce swelling and inflammation in the affected area.
pus filled pimples,Low,Benzoyl peroxide,https://www.1mg.com/search/all?name=Benzoyl+peroxide,Benzoyl peroxide is commonly used for pus-filled pimples in India due to its antibacterial properties that help reduce inflammation and kill acne-causing bacteria.
receiving blood transfusion,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
receiving unsterile injections,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
red sore around nose,Low,Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone,Hydrocortisone is commonly used for red sore around the nose in India due to its anti-inflammatory properties that help reduce swelling and redness.
red spots over body,Medium,Cetirizine,https://www.1mg.com/search/all?name=Cetirizine,"Cetirizine is commonly used for red spots over the body in India because it is an antihistamine that helps to reduce allergic reactions, which can cause redness and itching."
redness of eyes,Low,Tetrahydrozoline,https://www.1mg.com/search/all?name=Tetrahydrozoline,"Tetrahydrozoline is commonly used for redness of eyes in India due to its vasoconstrictive properties which help to constrict blood vessels in the eyes, reducing redness."
restlessness,Low,Lavender oil,https://www.1mg.com/search/all?name=Lavender+oil,"Lavender oil is commonly used for restlessness in India due to its calming and relaxing properties, which can help promote better sleep and reduce anxiety."
runny nose,Medium,Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine,Chlorpheniramine is commonly used for runny nose in India due to its antihistamine properties that help reduce nasal congestion and inflammation.
rusty sputum,Low,Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin,"Guaifenesin is commonly used for rusty sputum in India due to its mucolytic properties, which help to thin and loosen mucus in the respiratory tract, making it easier to cough up."
scurring,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
shivering,Low,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,"Paracetamol is commonly used for shivering in India as it helps to reduce fever, which is often a common cause of shivering."
silver like dusting,Low,Clotrimazole,https://www.1mg.com/search/all?name=Clotrimazole,"Clotrimazole is commonly used in India for the symptom 'silver like dusting' because it is an antifungal medication effective against skin infections like tinea versicolor, which causes this symptom."
sinus pressure,Low,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for sinus pressure in India because it is a nonsteroidal anti-inflammatory drug that helps reduce inflammation and pain associated with sinus congestion.
skin rash,Medium,Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone,"Hydrocortisone is commonly used for skin rashes in India due to its anti-inflammatory properties that help reduce redness, swelling, and itching."
slurred speech,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
small dents in nails,Low,Biotin,https://www.1mg.com/search/all?name=Biotin,Biotin is commonly used for small dents in nails in India because it is a vitamin that helps strengthen and improve the health of nails.
spinning movements,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
spotting  urination,Low,Cranberry extract,https://www.1mg.com/search/all?name=Cranberry+extract,"Cranberry extract is commonly used for spotting urination in India due to its potential ability to prevent and treat urinary tract infections, which can cause symptoms such as spotting during urination."
stiff neck,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for stiff neck in India due to its anti-inflammatory properties that help reduce pain and inflammation in the affected area.
stomach bleeding,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
stomach pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for stomach pain in India due to its anti-inflammatory properties that help reduce inflammation and pain in the stomach lining.
sunken eyes,Low,Caffeine,https://www.1mg.com/search/all?name=Caffeine,"Caffeine is a vasoconstrictor that can help reduce puffiness and dark circles under the eyes, making them appear less sunken."
sweating,Medium,Aluminum chloride,https://www.1mg.com/search/all?name=Aluminum+chloride,Aluminum chloride is commonly used for excessive sweating in India because it helps to block the sweat glands and reduce sweat production.
swelled lymph nodes,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for swelled lymph nodes in India because it helps reduce inflammation and pain associated with the condition.
swelling joints,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for swelling joints in India because it is a nonsteroidal anti-inflammatory drug (NSAID) that helps reduce inflammation and pain.
swelling of stomach,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
swollen blood vessels,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for swollen blood vessels in India because it is a nonsteroidal anti-inflammatory drug (NSAID) that helps reduce inflammation and pain associated with swollen blood vessels.
swollen extremeties,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for swollen extremities in India due to its anti-inflammatory properties that help reduce swelling and pain.
swollen legs,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
throat irritation,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
toxic look (typhos),Low,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,"Paracetamol is commonly used for toxic look (typhos) in India due to its antipyretic and analgesic properties, which help reduce fever and pain associated with the condition."
ulcers on tongue,Medium,Benzocaine,https://www.1mg.com/search/all?name=Benzocaine,Benzocaine is commonly used for ulcers on the tongue in India because it is a local anesthetic that provides pain relief and promotes healing of the affected area.
visual disturbances,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
vomiting,Medium,Ondansetron,https://www.1mg.com/search/all?name=Ondansetron,"Ondansetron is commonly used for vomiting in India due to its effectiveness in blocking serotonin receptors in the brain, which helps to control nausea and vomiting."
watering from eyes,Low,Sodium cromoglicate,https://www.1mg.com/search/all?name=Sodium+cromoglicate,"Sodium cromoglicate is commonly used for watering from eyes in India because it is a mast cell stabilizer that helps prevent the release of histamine and other inflammatory mediators, reducing symptoms of allergic conjunctivitis."
weakness in limbs,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for weakness in limbs in India due to its anti-inflammatory properties that can help reduce pain and inflammation in the muscles and joints.
weakness of one body side,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
weight gain,Medium,Orlistat,https://www.1mg.com/search/all?name=Orlistat,"Orlistat is commonly used for weight gain in India because it inhibits the absorption of dietary fats, leading to weight loss."
weight loss,Medium,Orlistat,https://www.1mg.com/search/all?name=Orlistat,"Orlistat is commonly used for weight loss in India because it inhibits the absorption of dietary fats, leading to reduced caloric intake and weight loss."
yellow crust ooze,Low,Mupirocin,https://www.1mg.com/search/all?name=Mupirocin,"Mupirocin is commonly used for yellow crust ooze in India due to its effectiveness in treating bacterial skin infections, including impetigo."
yellow urine,Low,Cranberry extract,https://www.1mg.com/search/all?name=Cranberry+extract,Description not available
yellowing of eyes,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
yellowish skin,Medium,Vitamin B12,https://www.1mg.com/search/all?name=Vitamin+B12,"Vitamin B12 deficiency can cause yellowish skin (jaundice) due to impaired red blood cell production and breakdown, making it a common treatment in India."
